,frame_index,car_id,car_type,speed
523,176,29,car,180.0
524,177,17,car,860.0
525,177,26,car,160.0
526,177,29,car,200.0
527,178,17,car,960.0
528,178,29,car,180.0
529,179,17,car,1060.0
530,179,26,car,140.0
531,179,29,car,140.0
532,180,26,car,160.0
533,180,29,car,160.0
534,181,26,car,160.0
535,181,29,car,200.0
536,182,26,car,160.0
537,182,29,car,180.0
538,183,26,car,160.0
539,183,28,truck,100.0
540,183,29,car,160.0
541,184,26,car,140.0
542,184,28,truck,120.0
543,184,29,car,140.0
544,185,26,car,140.0
545,185,28,truck,80.0
546,185,29,car,140.0
547,186,25,truck,80.0
548,186,26,car,140.0
549,186,29,car,140.0
550,187,25,truck,80.0
551,187,29,car,140.0
552,188,29,car,140.0
553,189,29,car,140.0
554,191,26,car,140.0
555,192,26,car,140.0
556,192,29,car,140.0
557,193,29,car,140.0
558,194,29,car,140.0
559,201,34,car,320.0
560,202,34,car,340.0
561,203,34,car,340.0
562,204,34,car,280.0
563,205,34,car,260.0
564,206,34,car,260.0
565,207,34,car,240.0
566,208,34,car,260.0
567,209,34,car,240.0
568,209,35,car,300.0
569,210,34,car,220.0
570,210,35,car,300.0
571,211,34,car,220.0
572,211,35,car,380.0
573,212,34,car,240.0
574,212,35,car,440.0
575,213,34,car,240.0
576,213,35,car,460.0
577,214,34,car,200.0
578,214,35,car,400.0
579,215,34,car,180.0
580,215,35,car,360.0
581,216,34,car,180.0
582,216,35,car,380.0
583,217,34,car,160.0
584,217,35,car,380.0
585,218,34,car,160.0
586,218,35,car,320.0
587,219,34,car,160.0
588,219,35,car,300.0
589,220,34,car,180.0
590,220,35,car,340.0
591,221,34,car,180.0
592,221,35,car,340.0
593,222,34,car,140.0
594,222,35,car,300.0
595,223,34,car,140.0
596,223,35,car,280.0
597,224,34,car,160.0
598,224,35,car,280.0
599,225,27,car,140.0
600,225,34,car,160.0
601,225,35,car,280.0
602,226,27,car,140.0
603,226,34,car,140.0
604,226,35,car,260.0
605,227,35,car,260.0
606,228,27,car,140.0
607,228,35,car,260.0
608,228,37,car,340.0
609,229,27,car,160.0
610,229,35,car,260.0
611,229,37,car,320.0
612,230,27,car,140.0
613,230,35,car,280.0
614,230,37,car,360.0
615,231,27,car,160.0
616,231,35,car,240.0
617,231,37,car,340.0
618,232,27,car,140.0
619,232,34,car,140.0
620,232,35,car,220.0
621,232,37,car,260.0
622,233,27,car,140.0
623,233,35,car,200.0
624,233,37,car,280.0
625,234,27,car,180.0
626,234,35,car,200.0
627,234,37,car,300.0
628,235,27,car,180.0
